signal_date,ticker,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,score_breakdown,flags,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
2026-02-09,2436,半導體業,SURGE_ALPHA,58,3.21,6.17,2.43,0.73,61.2,56.79999923706055,"{'vol_ratio': 7, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.21x|CLOSE_HEALTHY:0.73|POCKET_PIVOT|GAP_FULL:2.4%|RS:+4.2%|BREAKOUT_20D:56.80>56.50|RSI_HEALTHY:61.2|BB_WIDE:0.183,2.11,4.58,7.75,5.99,5.46,9.51,5.28,1.76,-3.7,0.53,-2.46,-11.09,-6.51,-1.76,3.52
2026-02-09,3550,電子零組件業,SURGE_ALPHA,59,6.04,9.87,7.73,1.0,71.1,20.600000381469727,"{'vol_ratio': 2, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY2|VOL_HYPERCHASE:6.04x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:7.7%|RS:+7.9%|BREAKOUT_20D:20.60>18.75|RSI_HOT:71.1|BB_SQUEEZE_BREAK:BB:0.118→0.328,-1.21,-4.85,-8.01,-7.04,-11.17,-11.89,-10.44,-12.62,-19.17,-15.29,-19.9,-24.27,-23.06,-21.6,-18.93
2026-02-09,6290,電子零組件業,SURGE_ALPHA,69,4.54,8.43,2.91,0.83,55.4,186.5,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.54x|CLOSE_STRONG:0.83|POCKET_PIVOT|GAP_FULL:2.9%|RS:+6.5%|BREAKOUT_20D:186.50>175.50|RSI_HEALTHY:55.4|BB_SQUEEZE_BREAK:BB:0.091→0.137,-2.68,-0.54,5.09,12.6,13.94,21.72,14.21,15.82,15.28,26.54,28.42,15.82,9.38,18.5,15.82
2026-02-09,6462,半導體業,SURGE_BETA,44,2.76,8.37,3.72,0.82,26.5,116.5,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 0, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.76x|CLOSE_STRONG:0.82|GAP_FULL:3.7%|RS:+6.4%|RSI_WEAK:26.5|BB_SQUEEZE_BREAK:BB:0.060→0.123,-3.0,-6.44,-3.43,-2.15,4.72,3.0,-0.43,-2.15,-10.3,-9.01,-9.44,-14.59,-12.02,-8.58,-10.3
2026-02-10,8069,光電業,SURGE_BETA,42,2.49,5.41,1.99,0.5,48.5,185.0,"{'vol_ratio': 10, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.49x|CLOSE_SOFT:0.50|POCKET_PIVOT|GAP_FULL:2.0%|RS:+3.4%|RSI_WEAK:48.5|BB_WIDE:0.085,2.43,3.24,0.27,2.7,1.08,-0.54,-7.84,-17.03,-10.27,-10.81,-16.22,-14.05,-12.43,-14.05,-17.57
2026-02-11,2489,光電業,SURGE_ALPHA,57,4.51,7.54,2.58,0.87,64.3,27.100000381469727,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.51x|CLOSE_STRONG:0.87|POCKET_PIVOT|GAP_PARTIAL:2.6%|RS:+5.9%|BREAKOUT_20D:27.10>25.25|RSI_HEALTHY:64.3|BB_WIDE:0.494,9.96,20.85,32.84,46.13,60.7,48.71,53.14,60.33,61.07,45.02,30.63,38.19,38.75,52.58,54.61
2026-02-11,4908,通信網路業,SURGE_BETA,49,4.92,10.0,4.31,1.0,46.8,79.19999694824219,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.92x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:4.3%|RS:+8.4%|RSI_WEAK:46.8|BB_SQUEEZE_EXPAND:BB:0.085→0.124,5.43,8.84,8.21,9.97,20.96,32.58,25.51,28.79,23.11,10.86,11.36,19.32,22.22,33.84,31.94
2026-02-11,6291,半導體業,SURGE_BETA,52,3.74,9.94,3.38,1.0,72.5,271.6773376464844,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.74x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:3.4%|RS:+8.3%|BREAKOUT_20D:271.68>247.60|RSI_HOT:72.5|BB_WIDE:0.529,1.99,4.88,-2.17,0.18,7.05,2.71,-3.8,-1.81,-3.98,-10.13,-4.16,5.42,15.91,23.15,23.15
2026-02-11,6530,通信網路業,SURGE_BETA,52,3.86,3.42,2.17,0.76,61.6,66.5999984741211,"{'vol_ratio': 7, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.86x|CLOSE_HEALTHY:0.76|POCKET_PIVOT|GAP_PARTIAL:2.2%|RS:+1.8%|RSI_HEALTHY:61.6|BB_SQUEEZE_BREAK:BB:0.072→0.161,1.05,8.26,9.61,10.66,13.51,24.77,12.31,14.26,17.12,5.41,11.41,17.42,17.42,23.42,18.62
2026-02-11,6727,電子零組件業,SURGE_BETA,47,4.25,6.91,2.76,0.69,55.2,193.5,"{'vol_ratio': 7, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.25x|CLOSE_HEALTHY:0.69|POCKET_PIVOT|GAP_FULL:2.8%|RS:+5.3%|RSI_HEALTHY:55.2|BB_WIDE:0.140,-1.03,0.0,9.82,8.01,13.44,10.59,4.65,4.13,4.91,-5.43,3.62,11.63,22.74,34.88,48.32
2026-02-23,2338,半導體業,SURGE_BETA,44,1.55,9.96,1.63,1.0,23.4,37.0,"{'vol_ratio': 6, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.55x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:1.6%|RS:+9.5%|RSI_WEAK:23.4|BB_WIDE:0.292,10.0,20.95,32.97,46.22,45.68,31.49,42.43,42.7,28.51,20.0,31.89,33.78,35.14,36.76,37.84
2026-02-23,2428,電子零組件業,SURGE_BETA,53,1.94,3.75,1.44,0.82,43.5,180.0,"{'vol_ratio': 6, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.94x|CLOSE_STRONG:0.82|POCKET_PIVOT|GAP_FULL:1.4%|RS:+3.2%|RSI_WEAK:43.5|BB_SQUEEZE_BREAK:BB:0.067→0.104,3.89,5.28,5.28,4.17,-0.56,-6.39,-3.06,-5.0,-12.5,-8.06,-10.28,-12.22,-11.11,-11.11,-8.61
2026-02-23,3008,光電業,SURGE_BETA,45,1.81,3.49,1.53,0.73,30.1,2319.491943359375,"{'vol_ratio': 6, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.81x|CLOSE_HEALTHY:0.73|POCKET_PIVOT|GAP_FULL:1.5%|RS:+3.0%|RSI_WEAK:30.1|BB_SQUEEZE_EXPAND:BB:0.069→0.096,2.53,1.9,6.33,3.59,3.38,-2.74,-0.42,0.42,-3.59,-2.95,0.84,-0.63,-1.05,-2.74,1.27
2026-02-23,3026,電子零組件業,SURGE_ALPHA,64,3.79,9.57,3.35,1.0,30.3,114.5,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.79x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:3.3%|RS:+9.1%|BREAKOUT_20D:114.50>113.50|RSI_WEAK:30.3|BB_SQUEEZE_BREAK:BB:0.066→0.109,3.06,4.8,3.93,0.44,-0.87,-7.86,-4.8,-4.37,-10.04,-8.3,-6.99,-7.86,-5.68,-5.68,-1.31
2026-02-23,3030,其他電子業,SURGE_BETA,44,1.78,6.22,1.62,0.72,55.6,196.5,"{'vol_ratio': 6, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 0, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.78x|CLOSE_HEALTHY:0.72|GAP_FULL:1.6%|RS:+5.7%|BREAKOUT_20D:196.50>195.00|RSI_HEALTHY:55.6|BB_WIDE:0.109,3.31,3.56,13.74,24.94,20.36,20.87,26.72,24.68,17.81,24.68,28.75,41.48,41.22,27.23,29.52
2026-02-23,3042,電子零組件業,SURGE_BETA,44,1.67,2.5,1.02,0.83,47.1,90.30000305175781,"{'vol_ratio': 6, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.67x|CLOSE_STRONG:0.83|POCKET_PIVOT|GAP_FULL:1.0%|RS:+2.0%|RSI_WEAK:47.1|BB_WIDE:0.066,1.44,1.99,1.66,2.99,0.22,-2.55,-0.22,1.99,-0.89,1.66,3.99,1.99,3.54,2.44,3.54
