scan_date,analysis_date,ticker,action,confidence,trend_score,free_tier,halt,entry_bid,stop_loss,target,momentum,chip_analysis,risk_factors,data_quality_flags
2026-05-05,2026-05-05,3029,LONG,72,36,True,False,101.49,102.0,107.1,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3218,WATCH,55,36,True,False,135.82,136.5,143.33,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2385,LONG,71,35,True,False,129.35,130.0,136.5,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3023,LONG,68,34,True,False,287.56,289.0,304.5,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2347,LONG,78,33,True,False,81.79,82.2,86.31,,,,NO_BROKER_DATA|scoring_version:v2|COILING
2026-05-05,2026-05-05,4974,LONG,79,32,True,False,73.33,73.7,77.39,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3045,WATCH,54,31,True,False,109.95,110.5,119.18,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3689,LONG,66,30,True,False,138.31,139.0,145.95,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2498,WATCH,63,30,True,False,40.8,41.0,43.05,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2393,LONG,69,29,True,False,71.94,72.3,75.92,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3034,LONG,74,28,True,False,417.9,420.0,454.12,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2439,LONG,67,27,True,False,89.05,89.5,93.98,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4904,LONG,66,27,True,False,95.32,95.8,100.59,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4105,WATCH,62,27,True,False,73.83,74.2,77.91,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4746,WATCH,62,27,True,False,55.82,56.1,58.91,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2353,WATCH,61,27,True,False,27.61,27.75,29.82,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4915,WATCH,60,27,True,False,73.93,74.3,78.02,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,2412,WATCH,54,27,True,False,135.32,136.0,143.85,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3416,WATCH,54,27,True,False,156.71,157.5,169.58,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4938,LONG,67,26,True,False,81.09,81.5,87.15,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6122,LONG,72,25,True,False,47.31,47.54999923706055,49.93,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,4549,LONG,68,25,True,False,102.98,103.5,108.68,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6279,LONG,68,25,True,False,108.45,109.0,114.45,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,3413,LONG,67,25,True,False,322.88,324.5,340.73,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6446,WATCH,57,25,True,False,643.76,647.0,679.35,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6411,WATCH,55,25,True,False,81.49,81.9000015258789,87.25,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6485,WATCH,50,25,True,False,34.97,35.150001525878906,36.91,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6269,WATCH,55,24,True,False,68.16,68.5,73.5,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6282,WATCH,54,24,True,False,68.16,68.5,73.5,,,,NO_BROKER_DATA|scoring_version:v2
2026-05-05,2026-05-05,6265,CAUTION,48,24,True,False,68.16,68.5,73.5,,,,NO_BROKER_DATA|scoring_version:v2
