scan_date,analysis_date,ticker,name,market,industry,grade,score,vol_ratio,close_strength,day_chg_pct,gap_pct,surge_day,industry_rank_pct,rsi,inst_consec_days,score_breakdown,flags
2026-05-05,2026-05-05,4771,望隼,TSE,生技醫療業,SURGE_ALPHA,84,2.26,1.0,9.88,0.96,1,100.0,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6|MARGIN_COOL:3.8%
2026-05-05,2026-05-05,4745,合富-KY,TPEx,生技醫療業,SURGE_ALPHA,79,2.26,1.0,9.88,0.96,1,100.0,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6
2026-05-05,2026-05-05,4747,強生,TPEx,生技醫療業,SURGE_ALPHA,79,2.26,1.0,9.88,0.96,1,100.0,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6
2026-05-05,2026-05-05,4760,勤凱,TPEx,其他電子業,SURGE_ALPHA,79,2.26,1.0,9.88,0.96,1,88.9,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_HOT:89|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6
2026-05-05,2026-05-05,4903,聯光通,TPEx,通信網路業,SURGE_ALPHA,73,2.26,1.0,9.88,0.96,1,66.7,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_WARM:67|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6
2026-05-05,2026-05-05,4749,新應材,TPEx,半導體業,SURGE_ALPHA,67,2.26,1.0,9.88,0.96,1,44.4,63.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_STRONG:1.00|IND_COLD:44|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+9.7%|BREAKOUT_20D:228.00>207.50|RSI_HEALTHY:63.6
2026-05-05,2026-05-05,3067,全域,TPEx,其他電子業,SURGE_ALPHA,56,3.28,0.92,7.98,0.0,1,88.9,58.1,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.28x|CLOSE_STRONG:0.92|IND_HOT:89|POCKET_PIVOT|RS:+7.8%|RSI_HEALTHY:58.1
2026-05-05,2026-05-05,3088,艾訊,TPEx,電腦及週邊設備業,SURGE_ALPHA,55,1.79,0.82,6.51,2.02,1,77.8,28.2,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.79x|CLOSE_STRONG:0.82|IND_WARM:78|POCKET_PIVOT|GAP_FULL:2.0%|RS:+6.4%|RSI_WEAK:28.2
2026-05-05,2026-05-05,3095,及成,TPEx,通信網路業,SURGE_ALPHA,55,1.79,0.82,6.51,2.02,1,66.7,28.2,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.79x|CLOSE_STRONG:0.82|IND_WARM:67|POCKET_PIVOT|GAP_FULL:2.0%|RS:+6.4%|RSI_WEAK:28.2
2026-05-05,2026-05-05,3090,日電貿,TSE,電子零組件業,SURGE_BETA,54,1.79,0.82,6.51,2.02,1,55.6,28.2,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.79x|CLOSE_STRONG:0.82|IND_COLD:56|POCKET_PIVOT|GAP_FULL:2.0%|RS:+6.4%|RSI_WEAK:28.2|MARGIN_COOL:10.4%
2026-05-05,2026-05-05,3094,聯傑,TSE,半導體業,SURGE_BETA,54,1.79,0.82,6.51,2.02,1,44.4,28.2,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.79x|CLOSE_STRONG:0.82|IND_COLD:44|POCKET_PIVOT|GAP_FULL:2.0%|RS:+6.4%|RSI_WEAK:28.2|MARGIN_COOL:10.4%
2026-05-05,2026-05-05,6657,華安,TSE,生技醫療業,SURGE_BETA,54,3.64,0.56,5.31,0.0,1,100.0,57.1,0,"{""vol_ratio"": 5, ""close_strength"": 2, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.64x|CLOSE_SOFT:0.56|IND_HOT:100|POCKET_PIVOT|RS:+5.1%|RSI_HEALTHY:57.1|MARGIN_COOL:10.7%
2026-05-05,2026-05-05,3057,喬鼎,TSE,電腦及週邊設備業,SURGE_BETA,51,3.28,0.92,7.98,0.0,1,77.8,58.1,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.28x|CLOSE_STRONG:0.92|IND_WARM:78|POCKET_PIVOT|RS:+7.8%|RSI_HEALTHY:58.1
2026-05-05,2026-05-05,3105,穩懋,TPEx,半導體業,SURGE_BETA,49,1.79,0.82,6.51,2.02,1,44.4,28.2,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.79x|CLOSE_STRONG:0.82|IND_COLD:44|POCKET_PIVOT|GAP_FULL:2.0%|RS:+6.4%|RSI_WEAK:28.2
