scan_date,analysis_date,ticker,name,market,industry,grade,score,vol_ratio,close_strength,day_chg_pct,gap_pct,surge_day,industry_rank_pct,rsi,inst_consec_days,close_price,score_breakdown,flags
2026-05-14,2026-05-14,5351,鈺創,TPEx,半導體業,SURGE_ALPHA,92,3.71,0.9,11.34,7.4,2,88.9,66.5,3,93.3,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 6, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 7, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:3.71x|CLOSE_STRONG:0.90|INST_FRESH:3D|IND_HOT:89|POCKET_PIVOT|GAP_FULL:7.4%|RS:+12.6%|BREAKOUT_20D:93.30>86.90|RSI_HEALTHY:66.5|INST_SYNERGY|INST_PCT_LOW:7.2%|BB_SQUEEZE_BREAK:BB:0.169→0.407|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,8069,元太,TPEx,光電業,SURGE_ALPHA,87,6.27,0.96,17.65,11.0,2,66.7,74.3,2,230.0,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 7, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 3, ""margin_not_hot"": 0, ""inst_synergy"": 11, ""margin_declining"": 0, ""inst_cumulative_flow"": 6, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 4, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SURGE:6.27x|CLOSE_STRONG:0.96|INST_FRESH:2D|IND_WARM:67|POCKET_PIVOT|GAP_FULL:11.0%|RS:+18.9%|BREAKOUT_20D:230.00>195.50|RSI_BREAKOUT:74.3|INST_SYNERGY|INST_PCT_HIGH:22.1%|QUIET_ACCUM:71%|BB_SQUEEZE_EXPAND:BB:0.170→0.560|MA5_WALK|MOMENTUM_WALK|IND_ACCEL|INTL_TAIL:+2
2026-05-14,2026-05-14,7712,博盛半導體,TPEx,半導體業,SURGE_ALPHA,81,5.17,1.0,3.7,-3.09,1,88.9,74.7,1,168.0,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 8, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 3, ""margin_not_hot"": 0, ""inst_synergy"": 2, ""margin_declining"": 0, ""inst_cumulative_flow"": 3, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY1|VOL_SURGE:5.17x|CLOSE_STRONG:1.00|INST_FRESH:1D|IND_HOT:89|POCKET_PIVOT|RS:+5.0%|BREAKOUT_20D:168.00>162.00|RSI_BREAKOUT:74.7|INST_PCT_LOW:5.8%|FLOW_ACCEL:2.1x|BB_SQUEEZE_BREAK:BB:0.172→0.514|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,3357,臺慶科,TPEx,電子零組件業,SURGE_ALPHA,74,3.94,0.73,19.07,19.59,2,77.8,54.5,2,231.0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 7, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 9, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 5}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:3.94x|CLOSE_HEALTHY:0.73|INST_FRESH:2D|IND_WARM:78|POCKET_PIVOT|RS:+20.3%|BREAKOUT_20D:231.00>196.00|RSI_WEAK:54.5|FLOW_ACCEL:2.3x|QUIET_ACCUM:71%|BB_SQUEEZE_BREAK:BB:0.189→0.327|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:84|IND_ACCEL
2026-05-14,2026-05-14,6719,力智,TSE,半導體業,SURGE_ALPHA,74,3.93,0.74,7.69,4.87,2,88.9,67.8,0,210.0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:3.93x|CLOSE_HEALTHY:0.74|IND_HOT:89|POCKET_PIVOT|GAP_FULL:4.9%|RS:+8.9%|BREAKOUT_20D:210.00>196.00|RSI_HEALTHY:67.8|MARGIN_COOL:7.1%|BB_WIDE:0.253|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,8016,矽創,TSE,半導體業,SURGE_ALPHA,70,3.9,0.94,6.93,-1.28,1,88.9,74.6,0,293.0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 3, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:3.90x|CLOSE_STRONG:0.94|IND_HOT:89|POCKET_PIVOT|RS:+8.2%|BREAKOUT_20D:293.00>279.50|RSI_BREAKOUT:74.6|MARGIN_COOL:6.7%|MARGIN_DECLINING|BB_WIDE:0.394|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,3024,憶聲,TSE,光電業,SURGE_ALPHA,69,3.29,0.7,11.45,6.06,1,66.7,66.3,0,16.55,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:3.29x|CLOSE_HEALTHY:0.70|IND_WARM:67|POCKET_PIVOT|GAP_FULL:6.1%|RS:+12.7%|BREAKOUT_20D:16.55>15.20|RSI_HEALTHY:66.3|MARGIN_COOL:13.6%|MARGIN_DECLINING|BB_WIDE:0.452|MA5_WALK|IND_ACCEL|INTL_TAIL:+2
2026-05-14,2026-05-14,4912,聯德控股-KY,TSE,電子零組件業,SURGE_ALPHA,69,7.63,0.92,10.53,7.37,1,77.8,58.8,0,105.0,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 4, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 5}",SURGE_GATE_PASS|SURGE_DAY1|VOL_SURGE:7.63x|CLOSE_STRONG:0.92|IND_WARM:78|POCKET_PIVOT|GAP_FULL:7.4%|RS:+11.8%|BREAKOUT_20D:105.00>98.00|RSI_HEALTHY:58.8|MARGIN_HOT:20.3%|MARGIN_DECLINING|BB_SQUEEZE_EXPAND:BB:0.124→0.279|MOMENTUM_WALK|IND_HEAT_HOT:84|IND_ACCEL
2026-05-14,2026-05-14,2303,聯電,TSE,半導體業,SURGE_ALPHA,68,2.29,1.0,3.35,-2.39,2,88.9,76.4,0,108.0,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 3, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SOLID:2.29x|CLOSE_STRONG:1.00|IND_HOT:89|POCKET_PIVOT|RS:+4.6%|BREAKOUT_20D:108.00>104.50|RSI_BREAKOUT:76.4|MARGIN_COOL:2.7%|MARGIN_DECLINING|BB_WIDE:0.581|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,2441,超豐,TSE,半導體業,SURGE_ALPHA,68,2.28,0.97,3.52,1.45,2,88.9,52.9,0,99.9,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SOLID:2.28x|CLOSE_STRONG:0.97|IND_HOT:89|POCKET_PIVOT|GAP_FULL:1.5%|RS:+4.8%|BREAKOUT_20D:99.90>99.30|RSI_WEAK:52.9|MARGIN_COOL:6.6%|BB_WIDE:0.159|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
