signal_date,ticker,market,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,flags,t5_return_pct,t10_return_pct
2026-02-09,2103,TSE,橡膠工業,SURGE_BETA,54,2.79,4.21,1.94,0.58,47.7,16.100000381469727,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.79x|CLOSE_SOFT:0.58|IND_HOT:100|POCKET_PIVOT|GAP_FULL:1.9%|RS:+2.3%|RSI_WEAK:47.7|BB_WIDE:0.101,29.19,18.63
2026-02-09,2436,TSE,半導體業,SURGE_ALPHA,68,3.21,6.17,2.43,0.73,61.2,56.79999923706055,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.21x|CLOSE_HEALTHY:0.73|IND_HOT:84|POCKET_PIVOT|GAP_FULL:2.4%|RS:+4.2%|BREAKOUT_20D:56.80>56.50|RSI_HEALTHY:61.2|BB_WIDE:0.183,5.46,0.53
2026-02-09,2515,TSE,建材營造業,SURGE_BETA,43,2.41,7.55,0.72,1.0,54.3,14.949999809265137,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.41x|CLOSE_STRONG:1.00|IND_HOT:100|GAP_PARTIAL:0.7%|RS:+5.6%|RSI_WEAK:54.3|BB_WIDE:0.132,11.37,14.05
2026-02-09,2883,TSE,金融保險業,SURGE_ALPHA,73,2.72,3.01,1.37,0.62,55.3,18.850000381469727,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.72x|CLOSE_HEALTHY:0.62|IND_HOT:95|POCKET_PIVOT|GAP_FULL:1.4%|RS:+1.0%|BREAKOUT_20D:18.85>18.60|RSI_HEALTHY:55.3|BB_WIDE:0.071,10.88,7.69
2026-02-09,3550,TSE,電子零組件業,SURGE_ALPHA,74,6.04,9.87,7.73,1.0,71.1,20.600000381469727,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:6.04x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|GAP_FULL:7.7%|RS:+7.9%|BREAKOUT_20D:20.60>18.75|RSI_HOT:71.1|BB_SQUEEZE_BREAK:BB:0.118→0.328,-11.17,-15.29
2026-02-09,6290,TPEx,電子零組件業,SURGE_ALPHA,80,4.54,8.43,2.91,0.83,55.4,186.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.54x|CLOSE_STRONG:0.83|IND_HOT:94|POCKET_PIVOT|GAP_FULL:2.9%|RS:+6.5%|BREAKOUT_20D:186.50>175.50|RSI_HEALTHY:55.4|BB_SQUEEZE_BREAK:BB:0.091→0.137,13.94,26.54
2026-02-09,6462,TPEx,半導體業,SURGE_ALPHA,56,2.76,8.37,3.72,0.82,26.5,116.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.76x|CLOSE_STRONG:0.82|IND_HOT:93|GAP_FULL:3.7%|RS:+6.4%|RSI_WEAK:26.5|BB_SQUEEZE_BREAK:BB:0.060→0.123,4.72,-9.01
2026-02-10,1736,TSE,運動休閒,SURGE_GAMMA,39,1.51,1.09,0.73,1.0,29.0,139.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.51x|CLOSE_STRONG:1.00|IND_HOT:100|GAP_PARTIAL:0.7%|RS:-1.0%|RSI_WEAK:29.0|BB_SQUEEZE_BREAK:BB:0.093→0.155,-2.16,2.52
2026-02-10,2301,TSE,電腦及週邊設備業,SURGE_BETA,45,2.12,2.31,0.29,0.65,58.0,174.36764526367188,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.12x|CLOSE_HEALTHY:0.65|IND_HOT:91|POCKET_PIVOT|RS:+0.2%|RSI_HEALTHY:58.0|BB_WIDE:0.119,-2.54,-10.42
2026-02-10,2889,TSE,金融保險業,SURGE_BETA,48,2.1,2.4,0.0,1.0,60.6,17.049999237060547,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.10x|CLOSE_STRONG:1.00|IND_HOT:97|POCKET_PIVOT|RS:+0.3%|RSI_HEALTHY:60.6|BB_WIDE:0.052,-0.59,-7.04
2026-02-10,3036,TSE,電子通路業,SURGE_ALPHA,60,1.99,8.01,8.33,0.64,58.5,168.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.99x|CLOSE_HEALTHY:0.64|IND_HOT:96|POCKET_PIVOT|RS:+6.0%|BREAKOUT_20D:168.50>168.00|RSI_HEALTHY:58.5|BB_WIDE:0.149,9.2,27.89
2026-02-10,3035,TSE,半導體業,SURGE_BETA,47,1.67,7.64,0.64,1.0,29.3,169.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.67x|CLOSE_STRONG:1.00|IND_HOT:95|GAP_PARTIAL:0.6%|RS:+5.6%|RSI_WEAK:29.3|BB_SQUEEZE_BREAK:BB:0.070→0.139,-0.59,-6.21
